"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","0.1u","Capacitor_SMD:C_0603_1608Metric","","1","","",""
"J1,J17","2.54mm 3P","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","2","","",""
"J2,J4,J6,J12,J16","GH 1.25mm 6P","JST_GH_BM:JST_GH_BM06B-GHS-TBT_06","~","5","","",""
"J3,J5,J7,J9,J15,J22","GH 1.25mm 4P","JST_GH_BM:JST_GH_BM04B-GHS-TBT_04","~","6","","",""
"J8","JTAG 20 Pin","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf","1","","",""
"J10,J20","2.54mm 6P","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","2","","",""
"J11,J18,J19","2.54mm 4P","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","3","","",""
"J13,J21","ZH 1.5mm 3P","JST_ZH:JST_ZH_S3B-ZR-SM4A-TF_1x03-1MP_P1.50mm_Horizontal","~","2","","",""
"J14,J23","ZH 1.5mm 4P","JST_ZH:JST_ZH_S4B-ZR-SM4A-TF_1x04-1MP_P1.50mm_Horizontal","~","2","","",""
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_PTS645","~","1","","",""
