Ref,Val,Package,PosX,PosY,Rot,Side
"C5","2.2uF","C_0402_1005Metric",127.020000,-81.250000,0.000000,bottom
"C6","2.2uF","C_0402_1005Metric",140.500000,-81.000000,90.000000,bottom
"C11","1uF","C_0402_1005Metric",142.000000,-81.500000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",142.000000,-80.520000,180.000000,bottom
"C13","10uF","C_0402_1005Metric",128.000000,-106.500000,0.000000,bottom
"C14","10uF","C_0402_1005Metric",135.000000,-106.400000,0.000000,bottom
"C15","100nF","C_0402_1005Metric",132.500000,-104.000000,0.000000,bottom
"C16","100nF","C_0402_1005Metric",132.500000,-103.000000,0.000000,bottom
"C17","10uF","C_0402_1005Metric",132.500000,-105.000000,0.000000,bottom
"C18","10uF","C_0402_1005Metric",132.500000,-102.000000,0.000000,bottom
"D3","B5819W","D_SOD-323",136.500000,-79.500000,180.000000,bottom
"J1","GH 1.25mm 6P","JST_GH_SM06B-GHS-TB_06x1.25mm_Angled",122.750000,-86.000000,90.000000,bottom
"J3","GH 1.25mm 6P","JST_GH_SM06B-GHS-TB_06x1.25mm_Angled",127.000000,-72.750000,0.000000,bottom
"J4","Micro_SD_Card_Det1","microSD_HC_Hirose_DM3D-SF",151.250000,-86.900000,-90.000000,bottom
"J6","PWM_Conn_3x14","PWM_Conn_3x14",139.000000,-111.500000,180.000000,bottom
"J11","GH 1.25mm 6P","JST_GH_SM06B-GHS-TB_06x1.25mm_Angled",151.750000,-72.750000,0.000000,bottom
"J12","GH 1.25mm 6P","JST_GH_SM06B-GHS-TB_06x1.25mm_Angled",139.500000,-72.750000,0.000000,bottom
"J13","GH 1.25mm 4P","JST_GH_SM04B-GHS-TB_04x1.25mm_Angled",122.750000,-100.000000,90.000000,bottom
"R1","100k","R_0402_1005Metric",152.350000,-94.500000,0.000000,bottom
"R2","100k","R_0402_1005Metric",154.600000,-94.500000,180.000000,bottom
"R5","180","R_0402_1005Metric",134.250000,-79.500000,90.000000,bottom
"R29","10k","R_0402_1005Metric",151.900000,-78.900000,0.000000,bottom
"R30","10k","R_0402_1005Metric",138.400000,-76.400000,180.000000,bottom
"R31","10k","R_0402_1005Metric",126.800000,-98.950000,180.000000,bottom
"R32","10k","R_0402_1005Metric",126.800000,-100.200000,180.000000,bottom
"SW2","SW_DIP_x03","SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin",154.000000,-99.200000,90.000000,bottom
"TP1","Test Pin","PinHeader_1x03_P1.27mm_Vertical",147.000000,-95.400000,-90.000000,bottom
"TP2","Test Pin","PinHeader_1x03_P1.27mm_Vertical",143.250000,-104.270000,0.000000,bottom
"TP3","Test Pin","PinHeader_1x03_P1.27mm_Vertical",147.000000,-98.600000,-90.000000,bottom
"U1","STM32F407VETx","LQFP-100_14x14mm_P0.5mm",135.750000,-90.750000,90.000000,bottom
"U3","AMS1117-3.3","SOT-89-3",129.000000,-103.000000,90.000000,bottom
"U4","AMS1117-3.3","SOT-89-3",136.000000,-103.000000,90.000000,bottom
"BZ1","FUET-4020","FUET-4020",136.620000,-79.500000,180.000000,top
"C1","10pF","C_0402_1005Metric",139.400000,-103.620000,90.000000,top
"C2","10uF","C_0402_1005Metric",133.500000,-96.250000,180.000000,top
"C3","100nF","C_0402_1005Metric",133.520000,-95.250000,180.000000,top
"C4","10pF","C_0402_1005Metric",134.200000,-104.400000,-90.000000,top
"C7","100nF","C_0402_1005Metric",133.520000,-94.250000,180.000000,top
"C8","100nF","C_0402_1005Metric",131.620000,-94.250000,0.000000,top
"C9","100nF","C_0402_1005Metric",131.620000,-95.250000,0.000000,top
"C10","100nF","C_0402_1005Metric",131.620000,-96.250000,0.000000,top
"C19","100nF","C_0402_1005Metric",147.300000,-86.200000,180.000000,top
"C20","100nF","C_0402_1005Metric",150.000000,-91.700000,90.000000,top
"C21","100nF","C_0402_1005Metric",140.000000,-100.000000,0.000000,top
"C22","0.1nF","C_0402_1005Metric",136.500000,-91.250000,180.000000,top
"C23","100nF","C_0402_1005Metric",142.000000,-100.000000,0.000000,top
"C24","2.2nF","C_0402_1005Metric",136.500000,-90.250000,180.000000,top
"C25","10nF","C_0402_1005Metric",138.500000,-91.250000,0.000000,top
"C26","4.7u","C_0402_1005Metric",137.000000,-99.200000,0.000000,top
"C27","10uF","C_0402_1005Metric",140.800000,-92.400000,0.000000,top
"C28","100nF","C_0402_1005Metric",140.800000,-91.400000,0.000000,top
"C29","100nF","C_0402_1005Metric",140.800000,-90.400000,0.000000,top
"C30","220nF","C_0402_1005Metric",139.300000,-93.900000,90.000000,top
"C31","100nF","C_0402_1005Metric",148.750000,-79.750000,90.000000,top
"C32","100nF","C_0402_1005Metric",143.750000,-79.750000,90.000000,top
"C33","100nF","C_0402_1005Metric",148.750000,-81.750000,-90.000000,top
"C34","100nF","C_0402_1005Metric",143.750000,-81.750000,-90.000000,top
"C35","100nF","C_0402_1005Metric",134.100000,-97.800000,180.000000,top
"D1","White","LED_0402_1005Metric",146.250000,-104.250000,180.000000,top
"D2","Red","LED_0402_1005Metric",146.250000,-101.250000,180.000000,top
"D4","Green","LED_0402_1005Metric",146.250000,-102.250000,180.000000,top
"D5","Blue","LED_0402_1005Metric",146.250000,-103.250000,180.000000,top
"D6","B5819W","D_SOD-323",131.500000,-90.200000,180.000000,top
"J2","USB_C_USB2.0_14P","USB_C_Receptacle_GCT_USB4110",123.750000,-85.750000,-90.000000,top
"J5","JST ZH 1.5mm 2P","JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal",153.750000,-101.000000,90.000000,top
"J7","ZH 1.5mm 3P","JST_ZH_S3B-ZR-SM4A-TF_1x03-1MP_P1.50mm_Horizontal",153.750000,-83.750000,90.000000,top
