Designator,Mid X,Mid Y,Layer,Rotation
BZ1,136.62,-79.5,180,top
C1,139.4,-103.62,90,top
C10,131.62,-96.25,0,top
C11,142,-81.5,180,bottom
C12,142,-80.52,180,bottom
C13,128,-106.5,0,bottom
C14,135,-106.4,0,bottom
C15,132.5,-104,0,bottom
C16,132.5,-103,0,bottom
C17,132.5,-105,0,bottom
C18,132.5,-102,0,bottom
C19,147.3,-86.2,180,top
C2,133.5,-96.25,180,top
C20,150,-91.7,90,top
C21,140,-100,0,top
C22,136.5,-91.25,180,top
C23,142,-100,0,top
C24,136.5,-90.25,180,top
C25,138.5,-91.25,0,top
C26,137,-99.2,0,top
C27,140.8,-92.4,0,top
C28,140.8,-91.4,0,top
C29,140.8,-90.4,0,top
C3,133.52,-95.25,180,top
C30,139.3,-93.9,90,top
C31,148.75,-79.75,90,top
C32,143.75,-79.75,90,top
C33,148.75,-81.75,-90,top
C34,143.75,-81.75,-90,top
C35,134.1,-97.8,180,top
C4,134.2,-104.4,-90,top
C5,127.02,-81.25,0,bottom
C6,140.5,-81,90,bottom
C7,133.52,-94.25,180,top
C8,131.62,-94.25,0,top
C9,131.62,-95.25,0,top
D1,146.25,-104.25,180,top
D2,146.25,-101.25,180,top
D3,136.5,-79.5,180,bottom
D4,146.25,-102.25,180,top
D5,146.25,-103.25,180,top
D6,131.5,-90.2,180,top
J1,122.75,-86,-90,bottom
J10,122.75,-98.5,90,top
J11,151.75,-72.75,180,bottom
J12,139.5,-72.75,180,bottom
J13,122.75,-100,-90,bottom
J14,143,-72.75,0,top
J15,153,-72.75,0,top
J2,123.75,-85.75,-90,top
J3,127,-72.75,180,bottom
J4,151.25,-86.9,-90,bottom
J5,153.75,-101,90,top
J6,139,-111.5,180,bottom
J7,153.75,-83.75,90,top
J8,153.75,-92.75,90,top
J9,129.5,-72.75,0,top
Q1,132.5,-79.5,-90,top
Q2,130,-103,0,top
R1,152.35,-94.5,0,bottom
R10,134.6,-88.7,180,top
R11,148.7,-91.7,90,top
R12,147.4,-91.7,90,top
R13,146.4,-91.7,90,top
R14,149.9,-89.2,90,top
R15,147.3,-85.2,0,top
R16,135,-96.25,-90,top
R17,150,-102.75,90,top
R18,150,-100.75,90,top
R19,150,-84.75,90,top
R2,154.6,-94.5,180,bottom
R20,127.25,-104,-90,top
R21,127.25,-102,90,top
R22,132.75,-102.49,-90,top
R23,127.6,-77,90,top
R24,129,-77,90,top
R25,126.8,-100.3,180,top
R26,131,-76.8,0,top
R27,126.8,-99.15,180,top
R28,126.8,-97.9,180,top
R29,151.9,-78.9,0,bottom
R3,134.2,-102.5,90,top
R30,138.4,-76.4,180,bottom
R31,126.8,-98.95,180,bottom
R32,126.8,-100.2,180,bottom
R33,141.5,-78.25,0,top
R34,146.5,-78.25,0,top
R4,148.25,-104.25,0,top
R5,134.25,-79.5,90,bottom
R6,148.25,-101.25,0,top
R7,148.25,-102.25,0,top
R8,148.25,-103.25,0,top
R9,126.5,-93.75,-90,top
SW2,154,-99.2,90,bottom
TP1,147,-95.4,-90,bottom
TP2,143.25,-104.27,0,bottom
TP3,147,-98.6,-90,bottom
U1,135.75,-90.75,90,bottom
U10,141.5,-80.75,90,top
U11,146.5,-80.75,90,top
U2,131.5,-87.5,0,top
U3,129,-103,90,bottom
U4,136,-103,90,bottom
U5,147.5,-88.5,-90,top
U6,141,-98,0,top
U7,137,-94,90,top
U8,141,-94,90,top
U9,137,-97.4,180,top
Y1,136.8,-103.6,180,top
